['Максимова', 'Алина', 'Юрьевна', '380980433637']
['Федотова', 'Вера', 'Тимофеевна', '380989142646']
['Афанасьева', 'Элина', 'Романовна', '380983400784']
['Маслов', 'Александр', 'Платонович', '380980818423']
['Назарова', 'Екатерина', 'Павловна', '380989452334']
['Тарасов', 'Константин', 'Миронович', '380987645590']
['Игнатова', 'Мария', 'Марковна', '380987924088']
['Федотов', 'Пётр', 'Маркович', '380981785708']
['Лобанов', 'Артём', 'Максимович', '380987214409']
['Кузьмин', 'Кирилл', 'Максимович', '380986704797']
['Иванова', 'Ульяна', 'Львовна', '380983002301']
['Большаков', 'Арсений', 'Львович', '380986538288']
['Чернов', 'Артём', 'Константинович', '380987264240']
['Попов', 'Егор', 'Константинович', '380987417206']
['Миронова', 'София', 'Игоревна', '380989454931']
['Крылов', 'Александр', 'Иванович', '380982129035']
['Андреева', 'Милана', 'Егоровна', '380989322399']
['Романова', 'Дарина', 'Дмитриевна', '380986577387']
['Карпов', 'Борис', 'Дмитриевич', '380983526971']
['Фирсов', 'Али', 'Денисович', '380989410830']
['Белов', 'Матвей', 'Даниэльевич', '380984428294']
['Никитин', 'Егор', 'Даниилович', '380985674080']
['Наумова', 'Юлия', 'Гордеевна', '380986887141']
['Михайлов', 'Егор', 'Владиславович', '380983738697']
['Климова', 'Мария', 'Борисовна', '380981176265']
['Иванова', 'Аделина', 'Андреевна', '380980545548']
['Леонтьева', 'Вероника', 'Андреевна', '380984034751']
['Иванов', 'Всеволод', 'Александрович', '380987976629']
['Родин', 'Максим', 'Александрович', '380981818681']
['Андреев', 'Георгий', 'Александрович', '380980347706']
